row,date,amount,direction,counterparty,remark,our_decision,our_classification,our_treatment,confirmed_voucher,confirmed_digest,confirmed_logic,assessment,why_not_sure
1,20210107,10.0,支出,,商务卡-单位结算卡年费,post,bank_fee,借: 财务费用-手续费; 贷: 银行存款,银付-1,支付建行单位结算卡年费,财务费用-手续费 / 银行存款-建设银行基本户44050167065300000136,判断基本正确,
2,20210114,2079.7,支出,待报解预算收入-省ets待清算户,ETS社保扣款,hold,payroll_social_security,候选A 借: 应付职工薪酬/其他应付款-社保; 贷: 银行存款,银付-2,支付1月份社保费,其他应收款 / 应付职工薪酬-社保费-养老保险费 / 应付职工薪酬-社保费-医疗保险费 / 应付职工薪酬-社保费-失业保险费 / 应付职工薪酬-社保费-工伤保险费 / 应付职工薪酬-社保费-生育保险费 / 银行存款-建设银行基本户44050167065300000136,我当时过于保守/信息不足,缺社保分项清单与企业/个人承担拆分，无法从银行流水直接拆到2211各二级科目和1221其他应收款。
3,20210121,18235.0,收入,蓬江区世祥商行,采购室内用具,hold,current_account_or_purchase_refund,候选A 借: 银行存款; 贷: 预付账款/其他应付款-蓬江区世祥商行,银收-1,收到蓬江区世祥商行采购室内用具款,应收账款 / 银行存款-建设银行基本户44050167065300000136,我当时过于保守/信息不足,我过度依赖“采购”字样，忽略了资金方向为收入且可理解为客户采购我方商品后的回款；缺客户业务语义识别。
4,20210121,72870.0,收入,蓬江区世祥商行,采购服装,hold,current_account_or_purchase_refund,候选A 借: 银行存款; 贷: 预付账款/其他应付款-蓬江区世祥商行,银收-2,收到蓬江区世祥商行服装采购款,应收账款 / 银行存款-建设银行基本户44050167065300000136,我当时过于保守/信息不足,我过度依赖“采购”字样，忽略了资金方向为收入且可理解为客户采购我方商品后的回款；缺客户业务语义识别。
5,20210124,22099.0,支出,上海衫城贸易有限公司,货款,post,purchase_payment,借: 预付账款-上海衫城贸易有限公司; 贷: 银行存款,银付-3,采购大人短袖衣服（上海衫城贸易有限公司）96281379,应付账款 / 银行存款-建设银行基本户44050167065300000136,可入账，但科目口径偏保守,我先按预付账款处理；标准答案按应付账款付款并在月末转入库存商品，说明其掌握了到货/入库依据。
6,20210126,8360.0,支出,义乌市超宏烫画有限公司,货款,post,purchase_payment,借: 预付账款-义乌市超宏烫画有限公司; 贷: 银行存款,银付-4,采购烫画（义乌市超宏烫画有限公司）11557948,应付账款 / 银行存款-建设银行基本户44050167065300000136,可入账，但科目口径偏保守,我先按预付账款处理；标准答案按应付账款付款并在月末转入库存商品，说明其掌握了到货/入库依据。
7,20210126,2060.0,支出,广东莱纯服装有限公司,货款,post,purchase_payment,借: 预付账款-广东莱纯服装有限公司; 贷: 银行存款,银付-5,采购童装短袖衣服（广东莱纯服装有限公司）17774649,应付账款 / 银行存款-建设银行基本户44050167065300000136,可入账，但科目口径偏保守,我先按预付账款处理；标准答案按应付账款付款并在月末转入库存商品，说明其掌握了到货/入库依据。
8,20210127,7.5,支出,,对公自助服务-自助设备使用费,post,bank_fee,借: 财务费用-手续费; 贷: 银行存款,银付-6,支付建行自助设备使用费,财务费用-手续费 / 银行存款-建设银行基本户44050167065300000136,判断基本正确,
9,20210127,589.0,支出,义乌市郎嘉商贸有限公司,货款,post,purchase_payment,借: 预付账款-义乌市郎嘉商贸有限公司; 贷: 银行存款,银付-7,采购钥匙扣（义乌市郎嘉商贸有限公司）54602836,应付账款 / 银行存款-建设银行基本户44050167065300000136,可入账，但科目口径偏保守,我先按预付账款处理；标准答案按应付账款付款并在月末转入库存商品，说明其掌握了到货/入库依据。
10,20210128,22050.0,支出,义乌市弗雷娅服装有限公司,货款,post,purchase_payment,借: 预付账款-义乌市弗雷娅服装有限公司; 贷: 银行存款,银付-8,采购大人卫衣（义乌市弗雷娅服装有限公司）31327961,应付账款 / 银行存款-建设银行基本户44050167065300000136,可入账，但科目口径偏保守,我先按预付账款处理；标准答案按应付账款付款并在月末转入库存商品，说明其掌握了到货/入库依据。
11,20210130,500.0,支出,支付宝（中国）网络技术有限公司客户备付金,网上选购用品-特约商户-,hold,uncertain_alipay_purchase,暂挂其他应收款/待核查款,银付-9,转账到支付宝备用金,其他货币资金-其他货币资金 / 银行存款-建设银行基本户44050167065300000136,我当时过于保守/信息不足,缺“支付宝备用金”规则；仅凭“特约商户”无法识别应先转入其他货币资金而非直接费用化。
12,20210130,3292.0,支出,马丽丽,货款,hold,purchase_payment,借: 预付账款-马丽丽; 贷: 银行存款,银付-10,采购童装卫衣（东莞市宜米之家童装有限公司）29299703,应付账款 / 银行存款-建设银行基本户44050167065300000136,我当时过于保守/信息不足,缺私户代收与实际供应商映射、订单号或采购台账；银行对手名不是最终供应商。
13,20210130,1333.28,支出,奥艺(上海)贸易有限公司,货款,post,purchase_payment,借: 预付账款-奥艺(上海)贸易有限公司; 贷: 银行存款,银付-11,采购收纳袋（奥艺（上海）贸易有限公司））11691084,应付账款 / 银行存款-建设银行基本户44050167065300000136,可入账，但科目口径偏保守,我先按预付账款处理；标准答案按应付账款付款并在月末转入库存商品，说明其掌握了到货/入库依据。
