row,date,direction,amount,counterparty,summary,remark,decision,classification,confidence,evidence_layer,basis,treatment,risk,note
1,20210107 00:40:48,expense,10.0,,收费,商务卡-单位结算卡年费,post,bank_fee,high,A,银行收费；摘要明确；方向与业务一致,借: 财务费用-手续费; 贷: 银行存款,low,可直接入账
2,20210114 05:19:42,expense,2079.7,待报解预算收入-省ets待清算户,自定义,ETS社保扣款,hold,payroll_social_security,medium,B,社保代扣事实明确；中间账户已识别为征缴链路；缺分项清单与企业/个人承担拆分,候选A 借: 应付职工薪酬-社保/其他应收款(个人承担); 贷: 银行存款,medium,需社保申报明细后入账
3,20210121 11:04:51,income,18235.0,蓬江区世祥商行,网络转账,采购室内用具,post,sales_collection_or_current_account_return,medium,B,资金方向为流入；对方为稳定业务主体；采购字样可能表示对方采购我方商品,候选A 借: 银行存款; 贷: 应收账款-蓬江区世祥商行,medium,"建议优先按客户回款处理, 需销售单/往来余额复核"
4,20210121 11:06:12,income,72870.0,蓬江区世祥商行,网络转账,采购服装,post,sales_collection_or_current_account_return,medium,B,资金方向为流入；对方为稳定业务主体；采购字样可能表示对方采购我方商品,候选A 借: 银行存款; 贷: 应收账款-蓬江区世祥商行,medium,"建议优先按客户回款处理, 需销售单/往来余额复核"
5,20210124 17:40:49,expense,22099.0,上海衫城贸易有限公司,网络转账,货款,post,procurement_payment,medium,B,资金方向为流出；对方主体明确；备注为货款,候选A 借: 应付账款/预付账款-上海衫城贸易有限公司; 贷: 银行存款,medium,"若已有到货依据优先应付账款, 否则预付账款"
6,20210126 11:06:36,expense,8360.0,义乌市超宏烫画有限公司,网络转账,货款,post,procurement_payment,medium,B,资金方向为流出；对方主体明确；备注为货款,候选A 借: 应付账款/预付账款-义乌市超宏烫画有限公司; 贷: 银行存款,medium,"若已有到货依据优先应付账款, 否则预付账款"
7,20210126 13:42:27,expense,2060.0,广东莱纯服装有限公司,网络转账,货款,post,procurement_payment,medium,B,资金方向为流出；对方主体明确；备注为货款,候选A 借: 应付账款/预付账款-广东莱纯服装有限公司; 贷: 银行存款,medium,"若已有到货依据优先应付账款, 否则预付账款"
8,20210127 05:02:57,expense,7.5,,收费,对公自助服务-自助设备使用费,post,bank_fee,high,A,银行收费；摘要明确；方向与业务一致,借: 财务费用-手续费; 贷: 银行存款,low,可直接入账
9,20210127 13:53:15,expense,589.0,义乌市郎嘉商贸有限公司,网络转账,货款,post,procurement_payment,medium,B,资金方向为流出；对方主体明确；备注为货款,候选A 借: 应付账款/预付账款-义乌市郎嘉商贸有限公司; 贷: 银行存款,medium,"若已有到货依据优先应付账款, 否则预付账款"
10,20210128 11:29:56,expense,22050.0,义乌市弗雷娅服装有限公司,网络转账,货款,post,procurement_payment,medium,B,资金方向为流出；对方主体明确；备注为货款,候选A 借: 应付账款/预付账款-义乌市弗雷娅服装有限公司; 贷: 银行存款,medium,"若已有到货依据优先应付账款, 否则预付账款"
11,20210130 10:21:39,expense,500.0,支付宝（中国）网络技术有限公司客户备付金,消费,网上选购用品-特约商户-,post,transfer_to_other_monetary_funds,medium,B,中间账户明确为支付宝备付金；未穿透到真实商户；更适合先转其他货币资金,借: 其他货币资金-支付宝; 贷: 银行存款,medium,后续需用支付宝订单明细冲回或结转
12,20210130 10:33:14,expense,3292.0,马丽丽,网络转账,货款,post,procurement_payment_mapped_person,medium,B,资金方向为流出；备注为货款；自然人已命中历史映射,候选A 借: 应付账款/预付账款-东莞市宜米之家童装有限公司; 贷: 银行存款,medium,"使用历史映射, 仍建议复核订单号"
13,20210130 13:04:25,expense,1333.28,奥艺(上海)贸易有限公司,网络转账,货款,post,procurement_payment,medium,B,资金方向为流出；对方主体明确；备注为货款,候选A 借: 应付账款/预付账款-奥艺(上海)贸易有限公司; 贷: 银行存款,medium,"若已有到货依据优先应付账款, 否则预付账款"
14,20210130 13:12:46,expense,1732.4,合肥晔彤商贸有限公司,网络转账,货款,post,procurement_payment,medium,B,资金方向为流出；对方主体明确；备注为货款,候选A 借: 应付账款/预付账款-合肥晔彤商贸有限公司; 贷: 银行存款,medium,"若已有到货依据优先应付账款, 否则预付账款"
