row,date,direction,amount,counterparty,summary,remark,decision,classification,confidence,basis,treatment,risk,note
1,20210107 00:40:48,expense,10.0,,收费,商务卡-单位结算卡年费,post,bank_fee,high,银行收费+摘要明确,借: 财务费用-手续费; 贷: 银行存款,low,可直接入账
2,20210114 05:19:42,expense,2079.7,待报解预算收入-省ets待清算户,自定义,ETS社保扣款,hold,payroll_social_security,medium,"社保扣款事实明确, 但缺工资/社保计提资料",候选A 借: 应付职工薪酬/其他应付款-社保; 贷: 银行存款,medium,需补社保申报表或上期计提依据后入账
3,20210121 11:04:51,income,18235.0,蓬江区世祥商行,网络转账,采购室内用具,hold,current_account_or_purchase_refund,low,"款项流入但备注显示采购, 方向与通常采购付款矛盾",候选A 借: 银行存款; 贷: 预付账款/其他应付款-蓬江区世祥商行,high,必须核对合同/订单/对账单后入账
4,20210121 11:06:12,income,72870.0,蓬江区世祥商行,网络转账,采购服装,hold,current_account_or_purchase_refund,low,"款项流入但备注显示采购, 方向与通常采购付款矛盾",候选A 借: 银行存款; 贷: 预付账款/其他应付款-蓬江区世祥商行,high,必须核对合同/订单/对账单后入账
5,20210124 17:40:49,expense,22099.0,上海衫城贸易有限公司,网络转账,货款,post,purchase_payment,medium,对公/对私转账+备注货款,借: 预付账款-上海衫城贸易有限公司; 贷: 银行存款,medium,"缺发票/入库单, 先按预付账款处理"
6,20210126 11:06:36,expense,8360.0,义乌市超宏烫画有限公司,网络转账,货款,post,purchase_payment,medium,对公/对私转账+备注货款,借: 预付账款-义乌市超宏烫画有限公司; 贷: 银行存款,medium,"缺发票/入库单, 先按预付账款处理"
7,20210126 13:42:27,expense,2060.0,广东莱纯服装有限公司,网络转账,货款,post,purchase_payment,medium,对公/对私转账+备注货款,借: 预付账款-广东莱纯服装有限公司; 贷: 银行存款,medium,"缺发票/入库单, 先按预付账款处理"
8,20210127 05:02:57,expense,7.5,,收费,对公自助服务-自助设备使用费,post,bank_fee,high,银行收费+摘要明确,借: 财务费用-手续费; 贷: 银行存款,low,可直接入账
9,20210127 13:53:15,expense,589.0,义乌市郎嘉商贸有限公司,网络转账,货款,post,purchase_payment,medium,对公/对私转账+备注货款,借: 预付账款-义乌市郎嘉商贸有限公司; 贷: 银行存款,medium,"缺发票/入库单, 先按预付账款处理"
10,20210128 11:29:56,expense,22050.0,义乌市弗雷娅服装有限公司,网络转账,货款,post,purchase_payment,medium,对公/对私转账+备注货款,借: 预付账款-义乌市弗雷娅服装有限公司; 贷: 银行存款,medium,"缺发票/入库单, 先按预付账款处理"
11,20210130 10:21:39,expense,500.0,支付宝（中国）网络技术有限公司客户备付金,消费,网上选购用品-特约商户-,hold,uncertain_alipay_purchase,low,第三方支付但真实用途不清,暂挂其他应收款/待核查款,high,必须补充订单截图或回单说明
12,20210130 10:33:14,expense,3292.0,马丽丽,网络转账,货款,hold,purchase_payment,low,对公/对私转账+备注货款,借: 预付账款-马丽丽; 贷: 银行存款,high,对私货款需补采购单据及收款人身份关系
13,20210130 13:04:25,expense,1333.28,奥艺(上海)贸易有限公司,网络转账,货款,post,purchase_payment,medium,对公/对私转账+备注货款,借: 预付账款-奥艺(上海)贸易有限公司; 贷: 银行存款,medium,"缺发票/入库单, 先按预付账款处理"
14,20210130 13:12:46,expense,1732.4,合肥晔彤商贸有限公司,网络转账,货款,post,purchase_payment,medium,对公/对私转账+备注货款,借: 预付账款-合肥晔彤商贸有限公司; 贷: 银行存款,medium,"缺发票/入库单, 先按预付账款处理"
15,20210130 14:47:09,expense,633.36,马进喜,网络转账,货款,hold,purchase_payment,low,对公/对私转账+备注货款,借: 预付账款-马进喜; 贷: 银行存款,high,对私货款需补采购单据及收款人身份关系
16,20210130 15:01:25,expense,312.71,曾丽纯,网络转账,货款,hold,purchase_payment,low,对公/对私转账+备注货款,借: 预付账款-曾丽纯; 贷: 银行存款,high,对私货款需补采购单据及收款人身份关系
17,20210130 15:07:06,expense,74.98,陈述,网络转账,货款,hold,purchase_payment,low,对公/对私转账+备注货款,借: 预付账款-陈述; 贷: 银行存款,high,对私货款需补采购单据及收款人身份关系
18,20210130 15:16:13,expense,546.0,深圳市唯诺讯科技有限公司,网络转账,货款,post,purchase_payment,medium,对公/对私转账+备注货款,借: 预付账款-深圳市唯诺讯科技有限公司; 贷: 银行存款,medium,"缺发票/入库单, 先按预付账款处理"
19,20210130 15:33:28,expense,370.0,扬州非可玩具有限公司,网络转账,货款,post,purchase_payment,medium,对公/对私转账+备注货款,借: 预付账款-扬州非可玩具有限公司; 贷: 银行存款,medium,"缺发票/入库单, 先按预付账款处理"
20,20210130 15:36:36,expense,329.0,厦门视觉美电子商务集团有限公司,网络转账,货款,post,purchase_payment,medium,对公/对私转账+备注货款,借: 预付账款-厦门视觉美电子商务集团有限公司; 贷: 银行存款,medium,"缺发票/入库单, 先按预付账款处理"
21,20210130 15:50:17,expense,132.0,程明,网络转账,货款,hold,purchase_payment,low,对公/对私转账+备注货款,借: 预付账款-程明; 贷: 银行存款,high,对私货款需补采购单据及收款人身份关系
22,20210130 15:54:39,expense,164.92,上海童励科技有限公司,网络转账,货款,post,purchase_payment,medium,对公/对私转账+备注货款,借: 预付账款-上海童励科技有限公司; 贷: 银行存款,medium,"缺发票/入库单, 先按预付账款处理"
23,20210130 15:59:06,expense,333.76,李家林,网络转账,货款,hold,purchase_payment,low,对公/对私转账+备注货款,借: 预付账款-李家林; 贷: 银行存款,high,对私货款需补采购单据及收款人身份关系
24,20210130 16:11:00,expense,435.35,深圳皇亚玩具有限公司,网络转账,货款,post,purchase_payment,medium,对公/对私转账+备注货款,借: 预付账款-深圳皇亚玩具有限公司; 贷: 银行存款,medium,"缺发票/入库单, 先按预付账款处理"
25,20210130 16:22:01,expense,180.0,周志国,网络转账,货款,hold,purchase_payment,low,对公/对私转账+备注货款,借: 预付账款-周志国; 贷: 银行存款,high,对私货款需补采购单据及收款人身份关系
26,20210130 16:30:44,expense,1184.0,陈启梅,网络转账,货款,hold,purchase_payment,low,对公/对私转账+备注货款,借: 预付账款-陈启梅; 贷: 银行存款,high,对私货款需补采购单据及收款人身份关系
