id,status,date,source_type,source_rows,classification,amount,counterparty,digest,evidence_layer,confidence,risk,basis,proposed_entry_or_reason
V001,post,2022-01-04,bank,1,sales_receipt,3757.00,蓬江区世祥商行,收到蓬江区世祥商行货款,B,medium,medium,资金流入；交易对手为历史客户样式名称；备注“采购”按方向优先解释为客户采购我方商品后的回款。,借:银行存款-建设银行基本户44050167065300000136 3757.00; 贷:应收账款-蓬江区世祥商行 3757.00
V002,post,2022-01-07,bank,2,bank_fee,10.00,,支付单位结算卡年费,A,high,low,银行收费，摘要明确。,借:财务费用-手续费 10.00; 贷:银行存款-建设银行基本户44050167065300000136 10.00
V003,post,2022-01-08,bank,"3,4",bank_fee,5.50,,支付跨行转账手续费,A,high,low,同日同类银行收费，满足 same-day merge 规则。,借:财务费用-手续费 5.50; 贷:银行存款-建设银行基本户44050167065300000136 5.50
V004,post,2022-01-17,bank+numbers,5,payroll_social_security,2461.84,省ETS待清算户,支付1月社保并代扣员工个人部分,A+B,medium,medium,银行备注“ETS社保扣款”；numbers 预览显示个人部分 396.88 x 2 = 793.76，其余 1668.08 作为单位承担社保。,借:应付职工薪酬-社保费 1668.08; 借:其他应收款-员工个人社保 793.76; 贷:银行存款-建设银行基本户44050167065300000136 2461.84
V005,post,2022-01-17,bank,6,tax,2.50,待报解预算收入（财库联网集中户）,缴纳印花税,A,high,low,电子缴税凭证，备注“印花税2.50”明确。,借:应交税费-印花税 2.50; 贷:银行存款-建设银行基本户44050167065300000136 2.50
V006,post,2022-01-17,bank,7,procurement_payment,618.00,上海衫城贸易有限公司,支付上海衫城贸易有限公司货款,B,medium,medium,资金流出；对手为公司主体；备注“货款”；缺到货/入库依据，按预付路径处理。,借:预付账款-上海衫城贸易有限公司 618.00; 贷:银行存款-建设银行基本户44050167065300000136 618.00
V007,post,2022-01-19,bank+opening_ledger,8,shareholder_funds_or_current_account,1130.00,陈慧莹,收到陈慧莹往来款,B,medium,medium,自然人流入款项；期初余额已存在“其他应付款-陈慧莹” 9985.00，可沿历史往来口径处理。,借:银行存款-建设银行基本户44050167065300000136 1130.00; 贷:其他应付款-陈慧莹 1130.00
V008,post,2022-01-20,bank,9,sales_receipt,1959.88,蓬江区世祥商行,收到蓬江区世祥商行设计费款,A+B,medium,medium,资金流入；备注“设计费”与销售服务款语义一致。,借:银行存款-建设银行基本户44050167065300000136 1959.88; 贷:应收账款-蓬江区世祥商行 1959.88
V009,post,2022-01-20,bank+invoice,10,expense_payment,1090.80,深圳东申艺术彩印有限公司,支付打印机耗材费,A,high,low,银行备注“打印机耗材费”；收到发票目录存在同额凭证 `打印机耗材1090.8.pdf`。,借:管理费用-办公耗材 1090.80; 贷:银行存款-建设银行基本户44050167065300000136 1090.80
V010,post,2022-01-27,bank,11,bank_fee,7.50,,支付自助设备使用费,A,high,low,银行收费，摘要明确。,借:财务费用-手续费 7.50; 贷:银行存款-建设银行基本户44050167065300000136 7.50
V011,post,2022-01-31,invoice_name+bank_pattern,,sales_accrual,4688.28,蓬江区世祥商行（暂按收款方匹配）,确认2022年1月常规短袖销售收入,B,medium,medium,开票目录存在 `202202开具的发票/202201常规短袖4688.28.pdf`，文件名直接指向业务归属为 2022-01；1 月银行亦存在同客户采购回款。,借:应收账款-蓬江区世祥商行 4688.28; 贷:主营业务收入-短袖 4641.86; 贷:应交税费-应交增值税（小规模纳税人专用） 46.42
V012,post,2022-01-31,invoice_name+bank_pattern,,sales_accrual,2287.16,蓬江区世祥商行（暂按收款方匹配）,确认2022年1月设计费收入,B,medium,medium,开票目录存在 `202202开具的发票/202201设计费2287.16.pdf`，文件名直接指向业务归属为 2022-01；1 月20日同客户存在“设计费”回款。,借:应收账款-蓬江区世祥商行 2287.16; 贷:主营业务收入-设计费 2264.51; 贷:应交税费-应交增值税（小规模纳税人专用） 22.65
V013,post,2022-01-31,numbers+bank_arithmetic,,payroll_social_security_accrual,1668.08,,计提1月单位承担社保费,B,medium,medium,银行社保扣款 2461.84 扣除个人部分 793.76 后得到单位承担 1668.08。,借:管理费用-社保费 1668.08; 贷:应付职工薪酬-社保费 1668.08
H001,hold,2022-01-31,numbers+general_ledger,,payroll_accrual,,,1月工资计提,conflict,low,high,numbers 预览底部可见 6200、5300，且疑似另有 3900；但用户提供的 2022-01 总账本期工资口径仅 6000。工资总额与费用归属冲突，不能自动入账。,工资总额及销售/管理费用归属均未闭合，需要用户确认。
H002,hold,2022-01-31,invoice_name_only,,expense_accrual,243.00,深圳东申艺术彩印有限公司,打印机耗材243元发票入账,B,low,medium,仅有 `打印机耗材243.pdf` 文件名，缺付款、缺明确发生日期。,期间归属不充分。
H003,hold,2022-01-31,sales_without_cost_chain,,cost_carry_forward,,,1月销售成本结转,missing,low,high,已有1月销售收入证据，但未见出库单、SKU成本表或库存扣减依据。,库存链未闭合，skill 要求不得自动结转成本。
H004,hold,2022-01-31,period_end,,period_close,,,1月损益结转与结账,blocked,low,high,工资和主营业务成本仍存在高风险未决项。,不满足结账门槛。
